id,name,service category,service name,type,description,opening_hours
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Food & Drinks,The Jame's Rooftop,"food, cuisine, hungry, ","Discover The Jame's Rooftop in Casablanca, boasting panoramic views of the city's key landmarks - the Hassan II Mosque, Sacré-Cœur Cathedral, and the Wilaya O'Clock - complemented by our resident DJ's weekend sets and a stellar selection of signature cocktails. An unmissable experience in Casablanca.",
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Lounge & Bar,The Jame's Rooftop,"bar, cocktail, fun, ambiamce, drinks, beer","Experience the electrifying ambiance of Jame's Rooftop in Casablanca, offering unparalleled vistas of the city's iconic landmarks - the Hassan II Mosque, Sacré-Cœur Cathedral, and the Wilaya O'Clock. Immerse yourself in the pulsating beats of our resident DJ's weekend sets while savoring handcrafted signature cocktails, making it the ultimate destination for unforgettable nights in Casablanca.",
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Room Service,Room service ,room service ,"Experience the utmost convenience and indulgence with JM Hotel's room service. Whether you're craving a delicious meal, a refreshing beverage, or any other comfort during your stay, our attentive team is dedicated to delivering prompt and personalized service right to your doorstep. Enjoy the convenience and luxury of dining in the comfort of your room, ensuring a truly seamless and memorable stay at JM Hotel.",
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Spa & well-being,Jm Spa ,"massage, hammam, relaxation","End your business journey of peace, tranquility and relaxation. The jm.spa is a luxurious sanctuary of spa treatment rooms inspired by Moroccan traditions and ceremonials.",
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Fitness,Fitness center ,"fitness, sport","We are providing you a basic but sufficient high-end Technogym equipment you need, to get shape including: Treadmills, exercise bike, elliptic, multifunction bench, wellness rack and Complimentary towel service provided.",
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Rooms & Accommodation,GREEN EXECUTIVE ROOM,28 m2,"Très lumineuses et spacieuses, les chambres GREEN EXECUTIVE sont très confortables avec un sol moelleux en moquette, un large choix de matériaux haut de gamme, technologiques et surtout à 100 % écologiques.",
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Rooms & Accommodation,GREEN DELUXE ROOM,32m2,"A l’instar des chambres EXECUTIVE, les chambres DELUXE GREEN, sont également 100 % écologiques et caractérisées par un design frais et contemporain, avec un sol moelleux en moquette et offrent davantage d’espace pour plus de confort.",
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Rooms & Accommodation,GREEN JUNIOR SUITE,34m2,"Les SUITES JUNIOR GREEN sont également 100 % écologiques, elles comprennent tous les services et équipements des chambres DELUXE, mais avec davantage d’espace pour plus de confort ainsi qu’un traitement vip.
Parmi ce service premium nous vous offrons entre autres un accueil personnalisé, une boisson de bienvenue au Rooftop, ainsi qu’un service oreiller à la carte afin que vous profitiez d’une bonne nuit de sommeil et que vous soyez au top de votre productivité le lendemain. 
",
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Rooms & Accommodation,GREEN MASTER SUITE ,,"Les SUITES MASTER GREEN, sont aussi 100 % écologiques, comprennent tous les services et équipements des chambres de la JUNIOR SUITE, mais avec l’avantage de vous offrir la vue sur les monuments et/ou un balcon ainsi qu’une superficie de 38 m2 pour votre plus grand confort et un départ tardif garanti jusqu’à 14H00, vous pourrez profiter un maximum de votre séjour. ",
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Corporate Events,Catering,"event corpo, team building, ",We are also able to give you the possibility to organize events & seminars at Jm Suites Hotel. The hotel offers you 2 distinctives spaces for your meetings that can host from 20 up to 300 people .,
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Corporate Events,Accomodation, ,Planning a multi-day event? Provide your guests with luxurious accommodations in our hotel. Choose from a variety of room and suite options designed for comfort and convenience.,
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Request - Housekeeping,Housekeeping,,"Whether you need fresh towels, a tidy room, or any other specific cleaning task, our attentive staff will promptly assist you. Enjoy a customized and convenient experience during your stay with us",
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Request - Laundry,Laundry,,"Our hotel’s laundry service ensures fresh clothing for our guests. Whether you need your favorite outfit or tomorrow shirts cleaned, our efficient team handles it all. Simply drop off your items and request the landry service here.",
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Request - Transportation,Transportation,,"We offer a convenient shuttle service to and from the airport, ensuring hassle-free transportation for our guests.",
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Request - Check In/Out,Check-in/Check-out,,"Early check-in and late check-out are available upon request, subject to availability. Whether you want to settle in sooner or extend your stay, we’ll do our best to accommodate your needs.",
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Request - Concierge,Concierge,,"Our concierge service is here to cater to your every need, from booking the perfect dinner spot to arranging transportation and securing tickets to events. Let us make your stay memorable by personalizing your experience with us",
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Request - Lost & Found,Lost&Found, ,"If you've misplaced something during your stay, our Lost and Found service is here to help. Report your missing item, and we'll make every effort to locate and return it to you as quickly as possible",
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Request - Other,Other, ,Our hotel’s concierge service is at your disposal for any additional needs during your stay. Just send us your request.,
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Request - Claim,Claim, ,I'm truly sorry to hear that you may have experienced an issue. I'm here to help and can ensure your claim is forwarded directly to our managers for prompt attention. Would you like to proceed with submitting your claim?,
